Bidang_IT;Posisi_Pekerjaan;Nama_Perusahaan;Lokasi;Gaji;Syarat_Deskripsi_Pekerjaan;Link_Detail;Skill_Python;Skill_SQL;Skill_Javascript;Skill_PHP;Skill_Java_Kotlin;Skill_Excel;Skill_Cloud_AWS_GCP;Skill_Docker_K8s;Skill_Git;Skill_English;Skill_Agile_Scrum;Skill_Networking_Security;Gaji_Clean
Data Science & Analytics;STAFF DATA ANALYST;Sekolah Kristen IPEKA;West Jakarta;IDR Disembunyikan;Health Insurance (BPJS) | Training | Christiann Education;https://id.jobstreet.com/job/93128563?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Data Analyst;PT ACCENTUATES;Jakarta;Rp 5.600.000 – Rp 8.000.000 per month;1. Gaji Pokok | 2. Jenjang Karir | 3. kompensasi omnibuslaw, BPJS Kesehatan & BPJS Ketenagakerjaan;https://id.jobstreet.com/job/93148302?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;6800000.0
Data Science & Analytics;Data Analyst Intern;PT LIUGONG MACHINERY INDONESIA;Kelapa Gading;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93143230?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Data Analyst;PT GLOBAL JET EXPESS (Cabang Lampung);Bandar Lampung;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92830186?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;MARCOMM DATA ANALYST;Sekolah Kristen IPEKA;West Jakarta;IDR Disembunyikan;Health Insurance (BPJS) | Training | Christiann Education;https://id.jobstreet.com/job/93114896?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Music Data Administrator;Fett Music;Bali;Rp 6.500.000 – Rp 9.000.000 per month;International music company managing royalties for global songwriters | Impactful data role ensuring accurate, fair royalty distribution worldwide | Flexible, supportive team with growth, remote work, and Bali-based setup;https://id.jobstreet.com/job/93148362?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;7750000.0
Data Science & Analytics;Data Analyst Staff;PT Lamcos Mitra Jaya;North Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93009925?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Data Analyst;PT Cycent Inovasi Kaizen;South Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93151416?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Database Management Analyst;PT New Ratna Motor (TOYOTA NASMOCO);Central Semarang;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93139202?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Data Analyst;PT. Lintas Teknologi Indonesia;Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93111604?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Marketing Analyst Staff;PT Penguin Indonesia;North Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93148969?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Production Data Analyst;PT Cahaya Jakarta;South Cikarang;IDR Disembunyikan;Dynamic Team | Growth Opportunity | Competitive Benefit;https://id.jobstreet.com/job/93088346?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Data Analyst;Pinkdose Wholesale;West Jakarta;Rp 6.000.000 – Rp 9.000.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/93087360?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;7500000.0
Data Science & Analytics;Data & Business Analyst;PT Synergy Property International;North Jakarta;IDR Disembunyikan;Work-life balance | Health & retirement benefits | Professional growth & learning;https://id.jobstreet.com/job/92577958?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Senior Sales Data Analyst (FMCG – Food Distribution);PT Pandurasa Kharisma;North Jakarta;Rp 10.000.000 – Rp 15.000.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/93127733?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;12500000.0
Data Science & Analytics;Data Analyst;PT Dachin Etech Global;Cikarang Pusat;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93076844?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;DATA ANALYST;Kompas Gramedia Group of Manufacture;Purwakarta Regency;IDR Disembunyikan;Lingkungan kerja yang baik | Jenjang karir | Pengembangan Diri;https://id.jobstreet.com/job/92909299?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Management Information System Staff;PT Mecosin Indonesia;South Jakarta;Rp 5.750.000 – Rp 6.850.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/93090011?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;6300000.0
Data Science & Analytics;Data Analyst;PT Anomali Lintas Cakrawala;South Jakarta;Rp 6.500.000 – Rp 9.500.000 per month;Fasilitas Kesehatan | Bonus / Insentif | Parking;https://id.jobstreet.com/job/93110062?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;8000000.0
Data Science & Analytics;Data Analyst;PT Propan Raya Industrial Coating Chemicals;Tangerang;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93039469?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Business Analyst;PT MAS ARYA INDONESIA;Kendal;IDR Disembunyikan;Meals, Coffee Shop & Gym Facility | Private Insurance | Development Plan;https://id.jobstreet.com/job/93038717?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;1;0;0;0;0;0;0;0;0;
Data Science & Analytics;Data Engineer (Business Intelligence);PT Yafindo Global Investama;Jakarta;Rp 10.000.000 – Rp 15.000.000 per month;Business Intelligence Engineer, Data Engineer, BI Developer | Career Path Untuk Employee | Penilaian Employee (KPI, Talent Mapping,  360 derajat & Workload Analisis));https://id.jobstreet.com/job/93149029?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;12500000.0
Data Science & Analytics;Junior Business Analyst;PT SAS Kreasindo Utama;Tegal;IDR Disembunyikan;Hands on experience with Odoo ERP implementation in a real business environment | Mentorship from experienced Senior Business Analysts and IT professionals. | Opportunities for career growth within the company.;https://id.jobstreet.com/job/92950381?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Fresh Graduate Business Analyst;PT Amber Solusi Internasional;Jakarta;IDR Disembunyikan;Dynamic work environment | Skill development | Professional growth;https://id.jobstreet.com/job/92637791?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Data Science & Analytics;Junior Business Analyst;PT Perangkat Lunak Indonesia;Central Jakarta;Rp 5.500.000 – Rp 7.000.000 per month;Competitive and net remuneration package | Medical & various operational reimbursements | Involved in software projects for high-profile clients;https://id.jobstreet.com/job/93059586?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;6250000.0
